strong	lemma	description_en	description_ja
1	α	Α, α, ἄλφα (q.v.), τό, indecl.,    alpha, the first letter of the Greek alphabet. As a numeral, αʹ = 1, α͵ = 1000. As a prefix, it appears to have at least two and perhaps three distinct senses:     ἀ- (before a vowel, ἀν-) negative, as in ἄ-γνωστος, ἄ-δικος.     ἀ-, ἁ- copulative, indicating community and fellowship, as in ἁ-πλοῦς, ἀ-κολουθέω, ἀ-δελφός.     An intensive force (LS, s. α), as in ἀ-τενίζω is sometimes assumed (but v. Boisacq, s.v.).	【語義】アルファ。ギリシャ語アルファベットの第一字。不変化名詞（τό）。【数詞】αʹ＝1、α͵＝1000。【接頭辞としての用法】少なくとも二つ、おそらく三つの異なる意味がある。①否定（母音の前では ἀν-）：ἄ-γνωστος、ἄ-δικος など。②共同・仲間を示す連結：ἁ-πλοῦς、ἀ-κολουθέω、ἀ-δελφός など。③強意（LS 参照）：ἀ-τενίζω などに見られるとされるが（Boisacq 参照）。
2	Ἀαρών	5   Ἀαρών (Heb. אַהֲרוֹן), indecl. (in FlJ, -ῶνος),    Aaron (Ex 4:14, al.): Lk 1:5, Ac 7:40, He 5:4, 7:11, 9:4.†	【語義】アロン。不変化（ヨセフスでは -ῶνος）。【語源】ヘブル語 אַהֲרוֹן。【旧約参照】出 4:14 など。【新約用例】ルカ 1:5、使 7:40、ヘブ 5:4、7:11、9:4。
3	Ἀβαδδών	1   Ἀβαδδών  (Heb. אֲבַדֹּון, destruction; LXX, ἀπώλεια, only in Wisdom Lit., of the place of the ruined dead: Jb 26:6, 28:22, 31:12, Ps 88:12, Pr 15:11*), indecl.;    in NT, Abaddon, the angel of the Abyss: Re 9:11.†	【語義】アバドン。不変化。【語源】ヘブル語 אֲבַדֹּון「滅び」の意。七十人訳では ἀπώλεια と訳され、知恵文学のみで死者の住む場所を指す（ヨブ 26:6、28:22、31:12、詩 88:12、箴 15:11）。【新約用例】奈落の天使として：黙 9:11。
4	ἀβαρής	1   * ἀβαρής, -ές    (< βαρός),    without weight; metaph. (MM, VGT, s.v.) not burdensome: II Co 11:9.†	【語義】重荷でない。【語源】βαρός（重さ）に否定の ἀ- がついた形。【用法】比喩的に：Ⅱコリ 11:9。
5	Ἀββά	3   Ἀββά (T, -ᾶ), indecl.  (Aram, אַבָּא, emphatic form of אַב = Heb. אָב, father),   used in the phrase Ἀ. ὁ παήρ, Abba, Father (v. Swete on Mk 14:36): Mk 14:36, Ro 8:15, Ga 4:6.†	【語義】アバ。不変化（T では -ᾶ）。【語源】アラム語 אַבָּא、אַב の強調形＝ヘブル語 אָב「父」。【用法】Ἀ. ὁ πατήρ「アバ、父よ」という句で用いられる（マコ 14:36 参照）。【新約用例】マコ 14:36、ロマ 8:15、ガラ 4:6。
6	Ἅβελ	4   Ἄβελ, (WH, Ἅ-), ὁ, indecl.         (הֶבֶל),       Abel (Ge 4:2-10): He 11:4, 12:24; αἵμα Ἄ., Mt 23:35, Lk 11:51.†	【語義】アベル。ὁ、不変化（WH では Ἅ-）。【語源】ヘブル語 הֶבֶל。【旧約参照】創 4:2-10。【新約用例】ヘブ 11:4、12:24。αἵμα Ἄ.（アベルの血）：マタ 23:35、ルカ 11:51。
7	Ἀβιά	3   Ἀβιά (Heb. אֲבִיָּה, אֲבִיָּהוּ), ὁ, indecl. (in FlJ, Ἀβίας, -α),    Abia, Abijah.     Son of Rehoboam (III Ki 14:1): Mt 1:7.      A priest of the line of Eleazar (I Ch 24:3, 10): Lk 1:5.†	【語義】アビヤ。ὁ、不変化（ヨセフスでは Ἀβίας）。【語源】ヘブル語 אֲבִיָּה、אֲבִיָּהוּ。【人物】①レハブアムの子（列王上 14:1 参照）：マタ 1:7。②エレアザルの系統の祭司（歴代上 24:3、10 参照）：ルカ 1:5。
8	Ἀβιάθαρ	1   Ἀβιάθαρ, ὁ, indecl. (Heb. אֶבְיָתָר),    Abiathar (I Ki 21:1): Mk 2:26.†	【語義】アビアタル。ὁ、不変化。【語源】ヘブル語 אֶבְיָתָר。【旧約参照】サム上 21:1。【新約用例】マコ 2:26。
9	Ἀβιληνή	1   Ἀβιληνή v.s. Ἀβειληνή.	Ἀβειληνή の項を参照。
10	Ἀβιούδ	2   Ἀβιούδ, ὁ, indecl. (Heb. אֲבִיָּהוּד),   Abiud, Abihud: Mt 1:13.†	【語義】アビウデ。ὁ、不変化。【語源】ヘブル語 אֲבִיָּהוּד。【新約用例】マタ 1:13。
