id	label	parent	source
cs0	Nominative		merged
cs1	Subject	cs0	merged
cs2	Predicate Nominative	cs0	merged
cs3	Nominative in Simple Apposition	cs0	merged
cs4	Nominative Absolute	cs0	merged
cs5	Nominativus Pendens (Pendent Nominative)	cs0	merged
cs6	Parenthetic Nominative	cs0	merged
cs7	Nominative in Proverbial Expressions	cs0	merged
cs8	Nominative for Vocative	cs0	merged
cs9	Nominative of Exclamation	cs0	merged
cs10	Nominative of Appellation	cs0	cheatsheet
cs11	Nominative in Apposition to Oblique Cases	cs0	cheatsheet
cs12	Nominative After Preposition	cs0	cheatsheet
cs13	Nominative for Time	cs0	merged
cs14	Vocative		merged
cs15	Simple Address	cs14	merged
cs16	Emphatic (or Emotional) Address	cs14	merged
cs17	Exclamation	cs14	merged
cs18	Apposition	cs14	merged
cs19	Genitive		merged
cs20	Descriptive Genitive	cs19	merged
cs21	Possessive Genitive	cs19	cheatsheet
cs22	Genitive of Relationship	cs19	merged
cs23	"Partitive Genitive (""Wholative"")"	cs19	merged
cs24	Attributive Genitive	cs19	merged
cs25	Attributed Genitive	cs19	merged
cs26	Genitive of Material	cs19	merged
cs27	Genitive of Content	cs19	merged
cs28	Genitive in Simple Apposition	cs19	cheatsheet
cs29	Genitive of Apposition (Epexegetical)	cs19	cheatsheet
cs30	Genitive of Destination	cs19	merged
cs31	Predicate Genitive	cs19	merged
cs32	Genitive of Subordination	cs19	merged
cs33	Genitive of Production/Producer	cs19	merged
cs34	Genitive of Product	cs19	cheatsheet
cs35	Genitive of Separation	cs19	merged
cs36	Genitive of Source (or Origin)	cs19	merged
cs37	Genitive of Comparison	cs19	merged
cs38	Subjective Genitive	cs19	merged
cs39	Objective Genitive	cs19	merged
cs40	Plenary Genitive	cs19	merged
cs41	Genitive of Price or Value or Quantity	cs19	merged
cs42	Genitive of Time	cs19	merged
cs43	Genitive of Place	cs19	merged
cs44	Genitive of Means	cs19	merged
cs45	Genitive of Agency	cs19	merged
cs46	Genitive Absolute	cs19	merged
cs47	Genitive of Reference	cs19	merged
cs48	Genitive of Association	cs19	merged
cs49	Genitive After Certain Verbs (as Direct Object)	cs19	cheatsheet
cs50	Genitive After Certain Adjectives	cs19	merged
cs51	Genitive After Certain Nouns	cs19	merged
cs52	Genitive After Certain Prepositions	cs19	merged
cs53	Dative		merged
cs54	Dative Indirect Object	cs53	merged
cs55	Dative of Interest	cs53	merged
cs56	Advantage (commodi)	cs55	merged
cs57	Disadvantage (incommodi)	cs55	merged
cs58	Dative of Reference/Respect	cs53	merged
cs59	Ethical Dative	cs53	merged
cs60	Dative of Destination	cs53	merged
cs61	Dative of Recipient	cs53	merged
cs62	Dative of Possession	cs53	merged
cs63	Dative of Thing Possessed	cs53	merged
cs64	Predicate Dative	cs53	merged
cs65	Dative in Simple Apposition	cs53	merged
cs66	Dative of Sphere	cs53	merged
cs67	Dative of Time	cs53	merged
cs68	Dative of Rule	cs53	merged
cs69	Dative of Association/Accompaniment	cs53	merged
cs70	Dative of Manner	cs53	merged
cs71	Dative of Means/Instrument	cs53	merged
cs72	Dative of Agency	cs53	merged
cs73	Dative of Measure/Degree of Difference	cs53	merged
cs74	Dative of Cause	cs53	merged
cs75	Cognate Dative	cs53	merged
cs76	Dative of Material	cs53	merged
cs77	Dative of Content	cs53	merged
cs78	Dative Direct Object	cs53	cheatsheet
cs79	Dative After Certain Nouns	cs53	merged
cs80	Dative After Certain Adjectives	cs53	merged
cs81	Dative After Certain Prepositions	cs53	merged
cs82	Accusative		merged
cs83	Accusative Direct Object	cs82	merged
cs84	Double Accusative	cs82	merged
cs85	Person-Thing	cs84	merged
cs86	Object-Complement	cs84	merged
cs87	Cognate Accusative	cs82	merged
cs88	Predicate Accusative	cs82	merged
cs89	Accusative Subject of Infinitive	cs82	merged
cs90	Accusative of Retained Object	cs82	merged
cs91	Pendent Accusative (Accusativum Pendens)	cs82	merged
cs92	Accusative in Simple Apposition	cs82	merged
cs93	Adverbial Accusative (Manner)	cs82	merged
cs94	Accusative of Measure (Space, Time)	cs82	cheatsheet
cs95	Accusative of Respect or (General) Reference	cs82	merged
cs96	Accusative in Oaths	cs82	merged
cs97	Accusative After Certain Prepositions	cs82	merged
cs98	Article		merged
cs99	As a Pronoun	cs98	cheatsheet
cs100	Personal Pronoun	cs99	merged
cs101	Alternative Pronoun	cs99	cheatsheet
cs102	Relative Pronoun	cs99	merged
cs103	Possessive Pronoun	cs99	merged
cs104	With Substantives	cs98	merged
cs105	Individualizing Article: Simple Identification	cs104	merged
cs106	Anaphoric (Previous Reference)	cs104	merged
cs107	Kataphoric (Following Reference)	cs104	merged
cs108	"Deictic (""Pointing"")"	cs104	merged
cs109	Par Excellence	cs104	merged
cs110	"Monadic (""One of a Kind"")"	cs104	merged
cs111	"Well-known (""Familiar"")"	cs104	merged
cs112	Abstract	cs104	merged
cs113	Generic (Categorical)	cs104	merged
cs114	As a Substantiver of	cs98	merged
cs115	Adverbs	cs114	merged
